Date,Open,High,Low,Close,Adj Close,Volume
2020-03-02,175000.000000,177000.000000,172500.000000,175000.000000,174749.640625,659376
2020-03-03,179000.000000,180000.000000,174000.000000,175000.000000,174749.640625,544379
2020-03-04,174500.000000,179500.000000,173000.000000,178500.000000,178244.625000,450252
2020-03-05,180500.000000,181000.000000,178500.000000,181000.000000,180741.062500,483840
2020-03-06,179500.000000,181000.000000,177500.000000,179500.000000,179243.203125,293897
2020-03-09,179500.000000,179500.000000,179500.000000,179500.000000,179243.203125,0
2020-03-10,168000.000000,176000.000000,165000.000000,172000.000000,171753.937500,666532
2020-03-11,172000.000000,174000.000000,167500.000000,170000.000000,169756.796875,483822
2020-03-12,170000.000000,170000.000000,170000.000000,170000.000000,169756.796875,0
2020-03-13,151000.000000,168000.000000,149500.000000,166000.000000,165762.515625,1242510
2020-03-16,166000.000000,166500.000000,155000.000000,155000.000000,154778.250000,812823
2020-03-17,147500.000000,155500.000000,147000.000000,151000.000000,150783.968750,979243
2020-03-18,152500.000000,156000.000000,146000.000000,146000.000000,145791.125000,666723
2020-03-19,150000.000000,151500.000000,135000.000000,144000.000000,143793.984375,1154230
2020-03-20,147500.000000,156500.000000,146000.000000,154000.000000,153779.687500,997895
2020-03-23,141500.000000,149500.000000,140000.000000,143000.000000,142795.421875,1033851
2020-03-24,151500.000000,157000.000000,148000.000000,156000.000000,155776.828125,960786
2020-03-25,160500.000000,163000.000000,152000.000000,156000.000000,155776.828125,1039579
2020-03-26,156000.000000,158000.000000,149500.000000,152500.000000,152281.828125,988725
2020-03-27,161500.000000,164500.000000,158500.000000,164000.000000,163765.375000,1217815
2020-03-30,160000.000000,165000.000000,159000.000000,162500.000000,162267.515625,630830
2020-03-31,163500.000000,171000.000000,163500.000000,170000.000000,169756.796875,858165
2020-04-01,166500.000000,171000.000000,163000.000000,163000.000000,162766.812500,720283
2020-04-02,166500.000000,175000.000000,164500.000000,173500.000000,173251.781250,1086863
2020-04-03,170000.000000,172500.000000,168000.000000,172000.000000,171753.937500,663454
2020-04-06,173500.000000,176000.000000,170500.000000,173000.000000,172752.500000,655547
2020-04-07,174000.000000,174500.000000,167500.000000,169500.000000,169257.515625,873091
2020-04-08,169000.000000,169500.000000,166500.000000,166500.000000,166261.796875,588577
2020-04-09,168500.000000,169000.000000,165000.000000,167500.000000,167260.375000,682921
2020-04-10,166000.000000,167000.000000,164000.000000,166500.000000,166261.796875,483720
2020-04-13,164500.000000,168000.000000,162500.000000,166000.000000,165762.515625,413768
2020-04-14,168000.000000,170000.000000,166500.000000,168500.000000,168258.937500,520725
2020-04-16,168000.000000,172500.000000,167500.000000,170500.000000,170256.078125,841066
2020-04-17,175500.000000,180000.000000,173500.000000,179000.000000,178743.921875,900031
2020-04-20,181000.000000,182000.000000,179000.000000,180000.000000,179742.484375,663723
2020-04-21,180500.000000,181500.000000,173500.000000,178500.000000,178244.625000,759150
2020-04-22,175000.000000,182500.000000,173000.000000,182000.000000,181739.625000,611589
2020-04-23,190000.000000,196000.000000,186500.000000,190000.000000,189728.187500,1521478
2020-04-24,189000.000000,197500.000000,189000.000000,192500.000000,192224.609375,928695
2020-04-27,193000.000000,200000.000000,192500.000000,197500.000000,197217.453125,927347
2020-04-28,197500.000000,198000.000000,194500.000000,198000.000000,197716.734375,433549
2020-04-29,199500.000000,200000.000000,196500.000000,197500.000000,197217.453125,676743
2020-05-04,198500.000000,203000.000000,193500.000000,199000.000000,198715.296875,1104027
2020-05-06,201500.000000,212500.000000,200500.000000,212000.000000,211696.703125,992225
2020-05-07,211500.000000,220000.000000,210500.000000,215500.000000,215191.703125,984024
2020-05-08,216000.000000,218500.000000,212000.000000,214000.000000,213693.843750,732394
2020-05-11,214500.000000,221000.000000,214000.000000,214500.000000,214193.125000,599328
2020-05-12,218000.000000,226500.000000,215000.000000,219500.000000,219185.984375,1056584
2020-05-13,217500.000000,222500.000000,213500.000000,218500.000000,218187.406250,1014692
2020-05-14,214500.000000,222000.000000,214500.000000,219000.000000,218686.687500,866427
2020-05-15,219000.000000,219500.000000,209500.000000,213000.000000,212695.281250,1050469
2020-05-18,215000.000000,218000.000000,211500.000000,215000.000000,214692.421875,638906
2020-05-19,215000.000000,216500.000000,210500.000000,213500.000000,213194.562500,917603
2020-05-20,215500.000000,225500.000000,215000.000000,222000.000000,221682.406250,977544
2020-05-21,227500.000000,233500.000000,222500.000000,225000.000000,224678.109375,1004395
2020-05-22,227000.000000,232500.000000,222500.000000,230500.000000,230170.234375,1108281
2020-05-25,234500.000000,241000.000000,234000.000000,241000.000000,240655.218750,1015069
2020-05-26,244000.000000,246000.000000,230000.000000,239000.000000,238658.078125,1568016
2020-05-27,231000.000000,234500.000000,226500.000000,228500.000000,228173.093750,1351505
2020-05-28,226000.000000,241000.000000,222000.000000,240500.000000,240155.937500,1625154
2020-05-29,240000.000000,243000.000000,226000.000000,226000.000000,225676.671875,3114298
2020-06-01,233500.000000,237000.000000,230000.000000,237000.000000,236660.937500,1140644
2020-06-02,235000.000000,236000.000000,232000.000000,234000.000000,233665.234375,689584
2020-06-03,235000.000000,235500.000000,225000.000000,225500.000000,225177.390625,1476614
2020-06-04,228000.000000,235000.000000,227000.000000,232500.000000,232167.375000,1052789
2020-06-05,229000.000000,231000.000000,225000.000000,231000.000000,230669.531250,1061922
2020-06-08,234500.000000,242000.000000,231000.000000,240500.000000,240155.937500,1624752
2020-06-09,240000.000000,243000.000000,235500.000000,237500.000000,237160.218750,934440
2020-06-10,241000.000000,247500.000000,240000.000000,244000.000000,243650.921875,1431071
2020-06-11,244000.000000,249000.000000,239000.000000,240500.000000,240155.937500,1423978
2020-06-12,229000.000000,242500.000000,228500.000000,242000.000000,241653.781250,1318334
2020-06-15,240000.000000,244500.000000,230500.000000,231500.000000,231168.812500,1311773
2020-06-16,239000.000000,243500.000000,236000.000000,243500.000000,243151.640625,1155474
2020-06-17,244000.000000,252000.000000,243500.000000,251000.000000,250640.906250,1357900
2020-06-18,251500.000000,254000.000000,247000.000000,247500.000000,247145.921875,744330
2020-06-19,250000.000000,250000.000000,244000.000000,249500.000000,249143.062500,919945
2020-06-22,249500.000000,271500.000000,247500.000000,270000.000000,269613.718750,1841479
2020-06-23,272000.000000,289000.000000,270500.000000,276000.000000,275605.156250,2104075
2020-06-24,273500.000000,279500.000000,270500.000000,279000.000000,278600.843750,995065
2020-06-25,273500.000000,276500.000000,269500.000000,269500.000000,269114.437500,1196267
2020-06-26,274500.000000,275000.000000,263000.000000,269000.000000,268615.156250,937593
2020-06-29,265000.000000,270500.000000,261000.000000,264000.000000,263622.312500,814814
2020-06-30,268000.000000,270500.000000,263000.000000,267000.000000,266618.031250,862860
2020-07-01,270000.000000,275000.000000,266000.000000,269000.000000,268615.156250,655711
2020-07-02,274000.000000,277000.000000,271000.000000,277000.000000,276603.718750,1015829
2020-07-03,276500.000000,280500.000000,274500.000000,277500.000000,277103.000000,971940
2020-07-06,278000.000000,287500.000000,278000.000000,281500.000000,281097.281250,1211636
2020-07-07,285000.000000,289500.000000,279000.000000,279500.000000,279100.125000,1365047
2020-07-08,280000.000000,284500.000000,274000.000000,282500.000000,282095.843750,1353345
2020-07-09,286500.000000,296500.000000,284500.000000,287500.000000,287088.687500,2006662
2020-07-10,291500.000000,308500.000000,290000.000000,299000.000000,298572.250000,2120904
2020-07-13,303500.000000,303500.000000,288000.000000,297000.000000,296575.093750,1254800
2020-07-14,290000.000000,291000.000000,285000.000000,287000.000000,286589.406250,1360849
2020-07-15,290500.000000,293000.000000,280500.000000,286500.000000,286090.125000,1276196
2020-07-16,283000.000000,285000.000000,272000.000000,273000.000000,272609.437500,1338814
2020-07-17,270000.000000,279500.000000,266000.000000,276000.000000,275605.156250,926932
2020-07-20,276500.000000,278000.000000,260500.000000,263000.000000,262623.750000,1556415
2020-07-21,273000.000000,273500.000000,269000.000000,270000.000000,269613.718750,1179638
2020-07-22,264000.000000,272500.000000,261500.000000,270000.000000,269613.718750,905784
2020-07-23,272000.000000,284000.000000,271000.000000,284000.000000,283593.687500,1396607
2020-07-24,281000.000000,290500.000000,278500.000000,281000.000000,280598.000000,1233584
2020-07-27,281000.000000,287500.000000,276500.000000,284500.000000,284093.000000,691075
2020-07-28,289500.000000,292000.000000,284000.000000,288000.000000,287587.968750,978238
2020-07-29,286000.000000,292000.000000,283000.000000,292000.000000,291582.250000,964066
2020-07-30,296000.000000,297500.000000,291000.000000,294000.000000,293579.406250,1150474
2020-07-31,299000.000000,303000.000000,296500.000000,301000.000000,300569.375000,1567503
2020-08-03,301500.000000,314500.000000,299000.000000,314500.000000,314050.062500,1341104
2020-08-04,317500.000000,322000.000000,307500.000000,311000.000000,310555.062500,1330818
2020-08-05,312000.000000,314500.000000,306500.000000,313500.000000,313051.500000,809939
2020-08-06,313000.000000,322000.000000,310500.000000,322000.000000,321539.343750,1032045
2020-08-07,324500.000000,325500.000000,312000.000000,314000.000000,313550.781250,1063254
2020-08-10,308500.000000,314500.000000,303500.000000,313500.000000,313051.500000,968592
2020-08-11,311000.000000,314500.000000,307500.000000,311500.000000,311054.343750,665863
2020-08-12,308000.000000,311000.000000,303500.000000,305000.000000,304563.656250,856711
2020-08-13,310000.000000,311500.000000,304000.000000,307000.000000,306560.781250,1406370
2020-08-14,305000.000000,308500.000000,303000.000000,305000.000000,304563.656250,608156
2020-08-18,307500.000000,317500.000000,305000.000000,307500.000000,307060.093750,1494966
2020-08-19,311500.000000,316000.000000,305500.000000,315000.000000,314549.343750,941038
2020-08-20,315000.000000,319000.000000,302500.000000,305500.000000,305062.937500,1186809
2020-08-21,311500.000000,314500.000000,308000.000000,312500.000000,312052.937500,781961
2020-08-24,313000.000000,320000.000000,310000.000000,320000.000000,319542.187500,783392
2020-08-25,323000.000000,325000.000000,317000.000000,325000.000000,324535.031250,897649
2020-08-26,321500.000000,338500.000000,321000.000000,334000.000000,333522.156250,1155853
2020-08-27,337000.000000,347000.000000,336500.000000,337000.000000,336517.875000,1232239
2020-08-28,337000.000000,338500.000000,329500.000000,333000.000000,332523.593750,969408
2020-08-31,336500.000000,340000.000000,322000.000000,322500.000000,322038.625000,1528978
2020-09-01,322500.000000,329500.000000,322000.000000,324500.000000,324035.750000,691864
2020-09-02,332500.000000,335500.000000,327000.000000,332500.000000,332024.312500,808064
2020-09-03,333500.000000,339500.000000,329500.000000,339000.000000,338515.031250,776547
2020-09-04,322500.000000,335000.000000,322000.000000,328500.000000,328030.031250,1174337
2020-09-07,325500.000000,325500.000000,313500.000000,314500.000000,314050.062500,1308247
2020-09-08,316000.000000,318000.000000,305500.000000,311000.000000,310555.062500,989171
2020-09-09,303000.000000,307000.000000,300000.000000,304500.000000,304064.375000,925825
2020-09-10,309000.000000,311000.000000,305000.000000,307500.000000,307060.093750,834946
2020-09-11,302500.000000,307000.000000,301000.000000,306000.000000,305562.218750,517023
2020-09-14,307500.000000,308000.000000,300000.000000,303000.000000,302566.531250,608816
2020-09-15,304000.000000,314000.000000,303000.000000,312000.000000,311553.656250,797985
