,age,reputation,stat_overall,stat_potential,stat_skill_moves,continent_africa,continent_asia,continent_europe,continent_oceania,continent_south america,contract_until_2018,contract_until_2019,contract_until_2020,contract_until_2021,contract_until_2022,contract_until_2023,contract_until_2024,contract_until_2025,contract_until_2026,position_DF,position_GK,position_MF,position_ST,prefer_foot_left,prefer_foot_right,value
0,31,5.0,94,94,4.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,18.520526087971856
1,27,4.0,91,93,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,18.09217669086922
2,31,5.0,91,91,3.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,18.197537205138154
3,32,4.0,91,91,3.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,17.747336210296442
4,25,3.0,90,93,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,18.035018277846262
5,32,3.0,90,90,2.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,17.599700214609808
6,32,4.0,90,90,4.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,17.909855136853043
7,27,3.0,89,90,2.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,17.958645300228824
8,26,3.0,89,92,1.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,17.87595358575207
9,26,4.0,89,90,1.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,17.795192230557824
10,29,4.0,89,89,3.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,17.75709238505144
11,31,4.0,89,89,3.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,17.909855136853043
12,32,5.0,89,89,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,17.453096744006448
13,33,4.0,89,89,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,17.11134746100564
14,26,3.0,88,89,4.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,18.05683732492351
15,26,3.0,88,90,2.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,17.90148688732258
16,27,3.0,88,88,4.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,17.9426449591384
17,26,3.0,88,91,4.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,18.112795977788508
18,26,3.0,88,89,5.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,18.05683732492351
19,29,3.0,88,88,4.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,17.893048018819147
20,29,4.0,88,88,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,17.6441519761925
21,31,4.0,88,88,1.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,17.399029524198163
22,30,4.0,88,88,3.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,17.858561843342684
23,40,4.0,88,88,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,15.201805169084134
24,24,3.0,87,92,2.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,17.858561843342684
25,27,3.0,87,90,2.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,17.747336210296442
26,25,4.0,87,91,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,17.974393656948944
27,25,3.0,87,89,3.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,17.95067713070663
28,29,3.0,87,87,3.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,17.453096744006448
29,31,3.0,87,87,4.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,17.622173069956816
30,30,3.0,87,87,3.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,17.65496289206296
31,30,4.0,87,87,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,17.65496289206296
32,31,4.0,87,87,2.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,17.341871111992198
33,26,3.0,86,87,4.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,17.76675429577647
34,26,3.0,86,88,2.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,17.61099976960838
35,25,3.0,86,89,4.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,17.822843761378564
36,27,3.0,86,86,3.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,17.41282284594998
37,27,3.0,86,86,5.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,17.65496289206296
38,28,4.0,86,86,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,17.622173069956816
39,27,3.0,86,86,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,17.6332229058992
40,29,4.0,86,86,4.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,17.588271519047417
41,31,3.0,86,86,2.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,17.216707972959764
42,33,3.0,86,86,3.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,16.705882371415992
43,34,4.0,86,86,4.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,16.88356353960952
44,23,1.0,85,92,2.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,17.65496289206296
45,23,2.0,85,90,4.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,17.73748391404757
46,22,3.0,85,92,4.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,17.804494623047066
47,25,3.0,85,90,1.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,17.41282284594998
48,23,3.0,85,90,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,17.73748391404757
49,26,3.0,85,86,3.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,17.622173069956816
50,27,3.0,85,86,4.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,17.622173069956816
51,30,3.0,85,85,2.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,17.1654146803266
52,28,3.0,85,87,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,17.281246492014
53,29,4.0,85,85,4.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,17.439851517607305
54,28,3.0,85,85,4.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,17.479072229734946
55,31,4.0,85,85,3.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,17.073607134447293
56,29,3.0,85,85,4.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,17.439851517607305
57,31,3.0,85,85,2.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,17.312018149733785
58,29,4.0,85,85,2.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,17.46616882523204
59,35,3.0,85,85,2.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,16.012735246411598
